,character,gender,power_score,agency_score,dom_score
640,3461,he/him/his,1,1,0.808
641,3526,he/him/his,0,0,0.294
642,7846,they/them/their,0,0,0.53
643,3645,he/him/his,1,2,0.0
644,7887,he/him/his,0,0,0.0
645,3762,she/her,0,0,1.172
646,7946,he/him/his,0,0,0.0
647,3841,he/him/his,1,1,-0.184
648,8035,he/him/his,3,0,0.146
649,3962,he/him/his,0,0,0.0
650,8144,she/her,0,0,-0.128
651,1163,he/him/his,0,0,1.484
652,8155,they/them/their,2,1,-0.05199999999999996
653,4180,they/them/their,0,0,-0.654
654,1203,he/him/his,1,1,0.22
655,8393,he/him/his,0,0,0.232
656,1233,he/him/his,0,0,-0.17
657,8480,he/him/his,0,0,0.346
658,4703,they/them/their,4,4,0.0
659,426,they/them/their,0,0,0.09999999999999998
660,4778,he/him/his,1,0,0.082
661,8667,he/him/his,-1,1,-0.054000000000000006
662,4823,he/him/his,2,2,1.554
663,4847,he/him/his,0,0,0.764
664,1379,he/him/his,0,0,0.166
665,466,he/him/his,0,0,-0.174
666,4921,they/them/their,0,0,0.262
667,495,she/her,0,0,0.0
668,1497,she/her,1,1,-0.5880000000000001
669,1507,she/her,1,1,-0.272
670,1512,she/her,0,1,0.0
671,509,he/him/his,1,1,0.124
672,1575,he/him/his,0,0,-0.09800000000000003
673,5155,they/them/their,1,1,0.174
674,5286,she/her,0,0,-0.492
675,5292,they/them/their,0,0,0.0
676,5310,she/her,0,0,-0.174
677,1671,they/them/their,0,0,0.09
678,567,he/him/his,0,0,0.19799999999999998
679,5584,they/them/their,0,0,-0.132
680,5615,he/him/his,0,-1,0.0
681,5679,they/them/their,0,0,-0.136
682,5703,he/him/his,0,1,0.648
